"hash","hostname","url","filename","filesize","seen_at"
b2907dc49b87eaef3269ab1586cfe24c71d8c0bb39c6eab1f3163cb65ffb28c7,adeptmassages.com,http://adeptmassages.com/7685.zip,"7685.zip",3781042,"2021-08-29 06:09:25.727402"
"74ee7721826409eb80cc16d118db2bfdb2d56c50bd849b1c3f75bbb0c13cbba2","7college.du.ac.bd",http://7college.du.ac.bd/pdf/vendor/new.zip,new.zip,2121568,"2021-08-29 06:09:26.646133"
"703e1427ce681f96d98cda86ae45ee4841298cf91b29b69f41dc85825d23cafa","7college.du.ac.bd",http://7college.du.ac.bd/pdf.zip,pdf.zip,97884346,"2021-08-29 06:09:29.249086"
"9ca5ef2b4e733bfa00c2d13ebc04ff5636b9a6e2684b19a961b66e8c6f888c92",aldana.in,http://aldana.in/aldana_admin/sound/mic.zip,mic.zip,122520,"2021-08-29 06:09:29.474268"
"00a609b6f2e146c25f9f0f12d942b7503999471834aa60f80f92233142d6750b",aussiedragonre.com.au,http://aussiedragonre.com.au/dc/login_error.php.zip,login_error.php.zip,7967,"2021-08-29 06:09:57.942364"
"3ee75962edc4eb21c9ffdd9af7c2ff7ae087e68feb093bef58eb6b2804e4aa5f",censor.be,http://censor.be/wordpress/CA 3.0.zip,CA 3.0.zip,311502,"2021-08-29 06:10:11.932688"
"192e15bb072a6c4822688d8082da45dd075d7f74a8b8872728e7531c4ba9205d",brouwtech.com,http://brouwtech.com/delivery_parcel_/dhl-iykom2.zip,dhl-iykom2.zip,234794,"2021-08-29 06:10:14.398804"
ae6badbc4e8b58647a3df146d0ffa3edb71bb93e58038a301da412fb72c31bc9,errorinthepc.xyz,http://errorinthepc.xyz/help1.zip,help1.zip,500485,"2021-08-29 06:11:00.749097"
f23d6860aa141e7e471927a67cece3fd05bff554ca6e6fc82c2362dedf56f954,htcop.org,http://htcop.org//js/paypal.zip,paypal.zip,9481,"2021-08-29 06:27:06.846424"
"10f0a41cf5c3c17a98a51d63f418bceff1b45ceca0004e2e82cf6ae23956a366",jamaicaprestigerooms.com,http://jamaicaprestigerooms.com/includes/filetransfer/updatedsss.zip,updatedsss.zip,1232713,"2021-08-29 06:27:18.346209"
